Musicians by Japanese band,Musicians by Japanese band
Musicians by South Korean band,Musicians by South Korean band
!!! members,!!!;"Jerry Fuchs,Gerhardt ""Jerry"" Fuchs";Nic Offer,Nic Offer;Tyler Pope,Tyler Pope;Justin Van Der Volgen,Justin Van Der Volgen
+44 (band) members,+44;Shane Gallagher,Shane Gallagher;Mark Hoppus,Mark Allan Hoppus;Gil Sharone,Gil Sharone
2Cellos members,2Cellos;Stjepan Hauser,Stjepan Hauser;Luka Šulić,Luka Šulić
2gether (band) members,2gether;Noah Bastian,Noah Dale Bastian;Michael Cuccione,Michael James Cuccione;Kevin Farley,Kevin Peter Farley;Evan Farmer,Evan Ragland Farmer, Jr.;"Alex Solowitz,Alexander Joshua ""Alex"" Solowitz"
2nd Chapter of Acts members,2nd Chapter of Acts;Nelly Greisen,Nelly (Ward) Greisen;Annie Herring,Annie Herring;Matthew Ward (singer),Matthew Ward
2nd Vision members,2nd Vision;Fred Thelonious Baker,Fred Thelonious Baker;Jon Davie,Jon (Jonathan) Davie;John Etheridge,John Michael Glyn Etheridge;Ric Sanders,Richard 'Ric' Sanders
3 (1980s band) members,3;Robert Berry,Robert Berry;Keith Emerson,Keith Noel Emerson;Carl Palmer,Carl Frederick Kendall Palmer
The 3B's members,The 3B's;Bob Cunningham (musician),Bob Cunningham;Houston Person,Houston Person;"Bernard Purdie,Bernard Lee ""Pretty"" Purdie";Bross Townsend,Bross Elvie Townsend, Jr.
3 Doors Down members,3 Doors Down;Daniel Adair,Daniel Patrick Adair;Brad Arnold,Bradley Kirk Arnold
3 Inches of Blood members,3 Inches of Blood;Cam Pipes,Cam Pipes;Alexei Rodriguez,Alexei Rodriguez;Byron Stroud,Byron Stroud
3Deep members,3Deep;Eddie Cibrian,Edward Carl Cibrian;CJ Huyer,Chris Jacob Huyer;Joshua Morrow,Joshua Jacob Morrow
3LW members,3LW;Adrienne Bailon,Adrienne Eliza Houghton;Naturi Naughton,Naturi Cora Maria Naughton;Kiely Williams,Kiely Alexis Williams
The 3rd and the Mortal members,The 3rd and the Mortal;Ann-Mari Edvardsen,Ann-Mari Edvardsen;Kirsti Huke,Kirsti Huke;Kari Rueslåtten,Kari Rueslåtten
4 Non Blondes members,4 Non Blondes;Shaunna Hall,Shaunna Elizabeth Hall;Linda Perry,Linda Perry;Dawn Richardson,Dawn Richardson;Roger Rocha,Roger Rocha
5th Story members,5th Story;Dane Bowers,Dane Leon Bowers;Gareth Gates,Gareth Paul Gates;Kavana (singer),Kavana;Kenzie (rapper),James MacKenzie;Adam Rickitt,Adam Peter Rickitt
7 Walkers members,7 Walkers;Matt Hubbard (musician),Matthew Hubbard;Bill Kreutzmann,William Kreutzmann Jr.;"Papa Mali,Malcolm ""Papa Mali"" Welbourne";Reed Mathis,Reed Mathis;George Porter Jr.,George Joseph Porter Jr.
7 Year Bitch members,7 Year Bitch;Valerie Agnew,Valerie Agnew;Elizabeth Davis (bassist),Elizabeth Davis-Simpson;Roisin Dunne,Roisin Dunne Ross;Stefanie Sargent,Stefanie Ann Sargent;Selene Vigil-Wilk,Selene Here Vigil
7Air members,7Air;Rika Ishikawa,Rika Ishikawa;Risa Niigaki,Risa Niigaki;Mai Satoda,Mai Satoda;Ai Takahashi,Ai Takahashi;Coconuts Musume,Coconuts Musume
8 Eyed Spy members,8 Eyed Spy;Pat Irwin,Patrick Irwin;Lydia Lunch,Lydia Lunch;Jim Sclavunos,James Sclavunos;George Scott III,George Scott III
The 8G Band members,The 8G Band;Fred Armisen,Fereydun Robert;Syd Butler,Syd Butler;Eli Janney (musician),Eli Janney;Nathan Larson,Nathan Peter Larson;Kimberly Thompson,Kimberly Thompson
8in8 members,8in8;Ben Folds,Benjamin Scott Folds;Neil Gaiman,Neil Richard MacKinnon Gaiman;Damian Kulash,Damian Joseph Kulash Jr.;Amanda Palmer,Amanda MacKinnon Gaiman Palmer
9 Horses members,9 Horses;Joseph Brent,Joseph Frederick Brent;Sara Caswell,Sara Caswell;Ike Sturm,Ike Sturm
10,000 Maniacs members,10,000 Maniacs;Jerry Augustyniak,Jerome Stanley Augustyniak;"Rob Buck,Robert Norman ""Rob"" Buck";Dennis Drew,Dennis Arnold Drew;"Steve Gustafson,Steven E. ""Steve"" Gustafson";John & Mary,John & Mary;John Lombardo,John Lombardo;Natalie Merchant,Natalie Anne Merchant;Mary Ramsey,Mary Ramsey;Oskar Saville,Oskar Saville
10cc members,10cc;Paul Burgess (musician),Paul Burgess;Lol Creme,Laurence Neil;Vic Emerson,Victor Emerson;Rick Fenn,Richard Fenn;Kevin Godley,Kevin Michael Godley;Graham Gouldman,Graham Keith Gouldman;Duncan Mackay (musician),Duncan Mackay;Tony O'Malley (musician),Tony O'Malley;Eric Stewart,Eric Michael Stewart;Stuart Tosh,Stuart Mcbeath Tosh
11Water members,11Water;Miki Fujimoto,Miki Shōji;Kaori Iida,Kaori Iida;Ayaka Kimura,Ayaka Kimura;Asami Konno,Asami Konno;Ayumi Shibata,Ayumi Shibata;Nozomi Tsuji,Nozomi Sugiura;Mari Yaguchi,Mari Yaguchi;Hitomi Yoshizawa,Hitomi Yoshizawa
16-17 members,16-17;Alex Buess,Alex Buess;Daniel Buess,Daniel Buess;"G. C. Green,Ben George Christian ""G. C."" Green";Kevin Martin (British musician),Kevin Martin
21st Century Schizoid Band members,21st Century Schizoid Band;"Mel Collins,Melvyn Desmond ""Mel"" Collins";Michael Giles,Michael Rex Giles;Peter Giles (musician),Peter Anthony Giles;Jakko Jakszyk,Michael;Ian McDonald (musician),Ian McDonald
22 Jacks members,22 Jacks;Jason Cropper,Jason Rosanoff Cropper;Kelly LeMieux,Kelly LeMieux;C. J. Ramone,Christopher Joseph Ward;Scott Shiflett,Scott David Shiflett;Joe Sib,Joe Sib;Steve Soto,Steve Soto
The 31st of February members,The 31st of February;Scott Boyer,Charles Scott Boyer II;Butch Trucks,Claude Hudson
